# word	role
# Built from Princeton WordNet (dictionary + thesaurus).
# roles: who verb what where when how adj link
# Generation (TTS templates) uses core embedded words; this file expands recognition + teaching.
mogul	who
moll	who
mom	who
momma	who
mommy	who
monarch	who
monet	who
monk	who
monod	who
mooch	who
moore	who
mope	who
moro	who
moses	who
mother	who
mott	who
mourner	who
mover	who
muir	who
mujik	who
mulla	who
munro	who
murderer	who
muser	who
musician	who
mvp	who
myope	who
nabob	who
namer	who
nanak	who
nance	who
nanus	who
naomi	who
napoleon	who
narc	who
nark	who
nash	who
nast	who
natta	who
navvy	who
nawab	who
nazi	who
neel	who
negro	who
nehru	who
neighbor	who
nephew	who
nerd	who
nero	who
nerva	who
nervi	who
neutralist	who
newsboy	who
newsman	who
newton	who
ney	who
niece	who
nigga	who
nigger	who
nigra	who
nimby	who
ninny	who
nisei	who
nixon	who
noah	who
nob	who
nobel	who
nobody	who
noc	who
noemi	who
nomad	who
noncom	who
novelist	who
noyes	who
np	who
nun	who
nurse	who
oaf	who
oates	who
observer	who
occam	who
occupant	who
ochoa	who
ochs	who
odets	who
odist	who
odo	who
officer	who
official	who
ogler	who
ohm	who
oken	who
old-man	who
oldster	who
olmec	who
onlooker	who
ono	who
oort	who
opel	who
orator	who
orczy	who
orff	who
orphan	who
orr	who
otho	who
outcast	who
ovid	who
owen	who
owens	who
owner	who
oyabun	who
ozawa	who
pa	who
pacha	who
padre	who
pagan	who
paget	who
paige	who
paine	who
painter	who
pal	who
pander	who
papa	who
pappa	who
pardner	who
parent	who
parks	who
parsi	who
parson	who
partner	who
pasha	who
passenger	who
passerby	who
pastor	who
pater	who
patient	who
paton	who
patriot	who
patron	who
patronne	who
patsy	who
paul	who
pauli	who
pawer	who
payee	who
payer	who
peary	who
peasant	who
peddler	who
pei	who
peon	who
pepin	who
pepys	who
percy	who
performer	who
peron	who
person	who
petitioner	who
philosopher	who
physician	who
piaf	who
pianist	who
picasso	who
pigmy	who
pilot	who
pimp	who
pinko	who
piper	who
pirate	who
pitcher	who
pitt	who
piute	who
planner	who
planter	who
plath	who
plato	who
player	who
playmate	who
pleb	who
plebe	who
plier	who
pliny	who
plumber	who
plyer	who
poe	who
poet	who
pol	who
policeman	who
politician	who
polk	who
pom	who
pommy	who
ponce	who
poof	who
poove	who
pope	who
porter	who
poseur	who
positivist	who
potter	who
pow	who
powys	who
preacher	who
president	who
prexy	who
prey	who
priest	who
prig	who
prince	who
prisoner	who
producer	who
prof	who
professor	who
prole	who
propagandist	who
prophet	who
proprietor	who
prude	who
pseud	who
psychologist	who
pudge	who
pugin	who
puke	who
puncher	who
pundit	who
punk	who
pupil	who
pursuer	who
pusey	who
putin	who
pygmy	who
pyle	who
qadi	who
quack	who
quaker	who
quarterback	who
quin	who
quine	who
quint	who
rabbi	who
racine	who
racist	who
rajah	who
rancher	who
ranee	who
rani	who
raper	who
rapist	who
rascal	who
rask	who
rasta	who
raver	who
reader	who
reb	who
rebel	who
redcoat	who
ref	who
refugee	who
registrant	who
reid	who
reporter	who
republican	who
resident	who
retailer	who
rex	who
reyes	who
rider	who
rifleman	who
riley	who
rilke	who
rn	who
roarer	who
robber	who
rodin	who
roget	who
rogue	who
rolf	who
rollo	who
roman	who
romeo	who
roofer	who
rookie	who
roper	who
ross	who
roth	who
roue	who
rous	who
rousseau	who
rover	who
rower	who
rube	who
ruler	who
runner	who
runt	who
rustler	who
sabin	who
sabra	who
sacco	who
sadat	who
sade	who
sadhu	who
sahib	who
sailor	who
salesman	who
salim	who
salk	who
santa	who
sapir	who
sarah	who
satie	who
sauk	who
saul	who
saver	who
savior	who
scamp	who
schmo	who
scholar	who
scientist	who
scion	who
scot	who
scott	who
scpo	who
sculptor	who
seaman	who
secretary	who
seeker	who
seer	who
segal	who
seles	who
senator	who
sentry	who
serb	who
serf	who
sergeant	who
serra	who
servant	who
seton	who
settler	who
shah	who
shahn	who
shakespeare	who
sharer	who
shaw	who
shawn	who
she	who
sheik	who
shem	who
sheriff	who
shill	who
shmo	who
shortstop	who
shute	who
sib	who
sibyl	who
sills	who
simon	who
singer	who
sinner	who
sioux	who
sipper	who
sir	who
sis	who
sister	who
skeat	who
skeptic	who
skier	who
skirmisher	who
skunk	who
slave	who
slob	who
slugger	who
slut	who
smith	who
smsgt	who
smuts	who
snead	who
sniper	who
snob	who
softy	who
soldier	who
soloist	who
solon	who
someone	who
son	who
sonny	who
soph	who
sophomore	who
soprano	who
sot	who
sousa	who
southerner	who
southpaw	who
sovereign	who
sower	who
speaker	who
specialist	who
spectator	who
speer	who
speke	who
spik	who
spiv	who
spock	who
sportsman	who
spouse	who
sprog	who
spy	who
squaw	who
squire	who
stael	who
stager	who
stalin	who
starr	who
statesman	who
steen	who
stockholder	who
stowe	who
stranger	who
stravinsky	who
student	who
stupe	who
successor	who
sucker	who
suer	who
suitor	who
sulla	who
sully	who
sultan	who
surgeon	who
survivor	who
swain	who
swami	who
swede	who
swot	who
synge	who
szell	who
taft	who
taker	who
tamer	who
tamm	who
tandy	who
taney	who
tange	who
tasso	who
tate	who
tati	who
tatum	who
taxer	who
taxpayer	who
teacher	who
teamster	who
tec	who
ted	who
teenager	who
tekki	who
temp	who
tenant	who
tenno	who
tesla	who
teton	who
texan	who
thane	who
tharp	who
them	who
theologian	who
therapist	who
they	who
thief	who
thug	who
tike	who
tiler	who
timur	who
tiro	who
tito	who
toady	who
tobey	who
tobin	who
toff	who
tojo	who
toper	who
tory	who
tot	who
toter	who
tourist	who
tout	who
towny	who
tracy	who
trader	who
traitor	who
trapper	who
traveler	who
trier	who
trooper	who
trustee	who
tsar	who
tully	who
turk	who
tutee	who
tutor	who
tutsi	who
twerp	who
twirler	who
twirp	who
tyke	who
tyrant	who
tyro	who
tyson	who
tzar	who
tzara	who
ump	who
uncle	who
uniat	who
urchin	who
urey	who
uriah	who
us	who
user	who
ux	who
uxor	who
valet	who
vandal	who
varro	who
vaux	who
vegan	who
vendor	who
venn	who
verdi	who
verne	who
vesey	who
vet	who
vexer	who
vicar	who
victim	who
victor	who
vidal	who
viewer	who
villain	who
vip	who
virgin	who
visitor	who
vitus	who
voltaire	who
voter	who
vower	who
wacko	who
waif	who
waite	who
waiter	who
wajda	who
waker	who
wally	who
ward	who
warrior	who
watts	who
waugh	who
wayne	who
we	who
wearer	who
webb	who
weber	who
weil	who
weill	who
wells	who
welty	who
wench	who
whale	who
whig	who
whizz	who
who	who
whom	who
whore	who
whose	who
widow	who
wife	who
wilde	who
wingman	who
winner	who
wino	who
wirer	who
witch	who
wiz	who
wizard	who
wog	who
wolfe	who
wolff	who
woman	who
wonk	who
wooer	who
woolf	who
wop	who
worker	who
workman	who
wouk	who
wretch	who
writer	who
wuss	who
wyat	who
wyatt	who
wyeth	who
wyler	who
wylie	who
yank	who
yankee	who
yeats	who
yenta	who
yid	who
yob	who
yobbo	who
yobo	who
yogi	who
yokel	who
you	who
youngster	who
youth	who
zeno	who
zeppo	who
zola	who
zombie	who
zuni	who
zweig	who
aah	verb
abandon	verb
abase	verb
abash	verb
abate	verb
abet	verb
abhor	verb
abide	verb
abolish	verb
abound	verb
absorb	verb
abuse	verb
abut	verb
aby	verb
abye	verb
accede	verb
accelerate	verb
accept	verb
acclaim	verb
accompany	verb
accomplish	verb
accord	verb
accost	verb
accrue	verb
accuse	verb
ache	verb
achieve	verb
acquire	verb
acquit	verb
act-as	verb
activate	verb
actuate	verb
adapt	verb
add	verb
addle	verb
adhere	verb
adjoin	verb
adjourn	verb
adjust	verb
administer	verb
admire	verb
admit	verb
admix	verb
adopt	verb
adore	verb
adorn	verb
adsorb	verb
advertise	verb
advise	verb
advocate	verb
affect	verb
affirm	verb
affix	verb
afford	verb
agitate	verb
agree	verb
aid	verb
airt	verb
alert	verb
alienate	verb
alight	verb
align	verb
aline	verb
allay	verb
allege	verb
allocate	verb
allot	verb
allow	verb
alter	verb
amass	verb
amaze	verb
amble	verb
amend	verb
amplify	verb
amuse	verb
analyse	verb
analyze	verb
anele	verb
announce	verb
annoy	verb
annul	verb
answer	verb
anticipate	verb
appal	verb
appear	verb
appease	verb
append	verb
applaud	verb
apply	verb
appoint	verb
appreciate	verb
approach	verb
approve	verb
arch	verb
argue	verb
arise	verb
arouse	verb
arrange	verb
arrest	verb
arrive	verb
ascend	verb
ascertain	verb
ascribe	verb
ask	verb
aspire	verb
assail	verb
assault	verb
assemble	verb
assert	verb
assess	verb
assign	verb
assist	verb
associate	verb
assume	verb
assure	verb
astound	verb
atone	verb
attach	verb
attack	verb
attain	verb
attempt	verb
attend	verb
attest	verb
attract	verb
attribute	verb
attune	verb
augment	verb
augur	verb
authorize	verb
avail	verb
avenge	verb
aver	verb
avert	verb
avoid	verb
avow	verb
await	verb
awaken	verb
babble	verb
badger	verb
baffle	verb
bake	verb
balk	verb
ban	verb
bandy	verb
bang	verb
banish	verb
baptize	verb
barde	verb
base	verb
bask	verb
baste	verb
bat	verb
bate	verb
bathe	verb
batter	verb
bawl	verb
be-born	verb
be-due	verb
bear	verb
beat	verb
beckon	verb
become	verb
bedamn	verb
bedew	verb
bedim	verb
befall	verb
befit	verb
befog	verb
beg	verb
beget	verb
begin	verb
behave	verb
behead	verb
behold	verb
belie	verb
believe	verb
bellow	verb
belong	verb
belong-to	verb
bemoan	verb
bend	verb
berate	verb
beseech	verb
beset	verb
besiege	verb
besot	verb
bestow	verb
bet	verb
bethink	verb
betray	verb
bevel	verb
bewail	verb
beware	verb
bicker	verb
bid	verb
bide	verb
bilk	verb
billow	verb
bind	verb
birdie	verb
birl	verb
birle	verb
bite	verb
blab	verb
blacken	verb
blame	verb
blanch	verb
blast	verb
blat	verb
blaze	verb
bleed	verb
blend	verb
bless	verb
blink	verb
blister	verb
bloom	verb
blub	verb
blurt	verb
blush	verb
boast	verb
bob	verb
bode	verb
bodge	verb
bogey	verb
boggle	verb
boil	verb
bolster	verb
bonk	verb
boo	verb
boom	verb
bore	verb
borrow	verb
bother	verb
bounce	verb
bouse	verb
bow	verb
bowse	verb
boycott	verb
brace	verb
brag	verb
braze	verb
break	verb
breathe	verb
bring	verb
broaden	verb
broil	verb
bruise	verb
bruit	verb
buck	verb
budge	verb
buffet	verb
build	verb
bump	verb
burgeon	verb
burn	verb
burst	verb
bury	verb
busk	verb
bust	verb
bustle	verb
butt	verb
buy	verb
buzz	verb
bypass	verb
cackle	verb
cadge	verb
calculate	verb
calibrate	verb
call	verb
call-for	verb
calve	verb
cancel	verb
canvass	verb
caper	verb
capture	verb
care	verb
careen	verb
caress	verb
cark	verb
carry	verb
carve	verb
cast	verb
catch	verb
cater	verb
caucus	verb
cause	verb
caution	verb
cavort	verb
caw	verb
cease	verb
cede	verb
celebrate	verb
cense	verb
centrifuge	verb
certify	verb
chafe	verb
chaff	verb
challenge	verb
change	verb
chant	verb
characterize	verb
chase	verb
chat	verb
cheat	verb
check	verb
cherish	verb
chevy	verb
chew	verb
chide	verb
chirk	verb
chirp	verb
chirr	verb
chivy	verb
choke	verb
choose	verb
chop	verb
chortle	verb
chuck	verb
chuckle	verb
chuff	verb
chug	verb
churn	verb
churr	verb
cite	verb
claim	verb
clamber	verb
clamp	verb
clang	verb
clank	verb
clarify	verb
clasp	verb
classify	verb
clatter	verb
cleave	verb
clench	verb
click	verb
climb	verb
clinch	verb
cling	verb
clink	verb
clobber	verb
clog	verb
clomp	verb
clothe	verb
cloy	verb
cluck	verb
clutch	verb
coact	verb
coapt	verb
coax	verb
cock	verb
coddle	verb
codify	verb
coerce	verb
cohere	verb
coil	verb
coincide	verb
collaborate	verb
collapse	verb
collect	verb
colly	verb
combine	verb
come	verb
come-in	verb
come-out	verb
commence	verb
commend	verb
commit	verb
communicate	verb
commute	verb
compare	verb
compel	verb
compensate	verb
compete	verb
compile	verb
complain	verb
complicate	verb
comply	verb
compose	verb
compound	verb
comprehend	verb
compress	verb
comprise	verb
compute	verb
conceal	verb
concede	verb
conceive	verb
concentrate	verb
concern	verb
conclude	verb
concur	verb
condemn	verb
conduct	verb
confer	verb
confess	verb
confide	verb
confine	verb
confirm	verb
confront	verb
confuse	verb
congeal	verb
conn	verb
connect	verb
connote	verb
conquer	verb
consider	verb
consign	verb
consist	verb
consort	verb
conspire	verb
constitute	verb
construct	verb
construe	verb
consult	verb
consume	verb
contain	verb
contemplate	verb
contend	verb
continue	verb
contradict	verb
contribute	verb
control	verb
convene	verb
converse	verb
convert	verb
convey	verb
convict	verb
convince	verb
cook	verb
cooperate	verb
coordinate	verb
cope	verb
correct	verb
correlate	verb
correspond	verb
cough	verb
count	verb
cover	verb
covet	verb
cower	verb
cozen	verb
crack	verb
cradle	verb
cram	verb
crane	verb
crave	verb
crawl	verb
creak	verb
crease	verb
create	verb
creep	verb
cringe	verb
cripple	verb
criticize	verb
croak	verb
cronk	verb
croon	verb
cross	verb
crouch	verb
crown	verb
crucify	verb
cruise	verb
crumble	verb
crump	verb
crush	verb
cry	verb
cuddle	verb
culminate	verb
cure	verb
curl	verb
curse	verb
curtail	verb
cushion	verb
cut	verb
dab	verb
dabble	verb
dally	verb
damage	verb
dampen	verb
dance	verb
dangle	verb
dare	verb
darken	verb
darn	verb
dart	verb
dash	verb
daunt	verb
dazzle	verb
deaden	verb
deal	verb
debar	verb
debug	verb
decay	verb
deceive	verb
decide	verb
declaim	verb
declare	verb
decline	verb
decorate	verb
decrease	verb
decry	verb
dedicate	verb
deduce	verb
deduct	verb
deem	verb
deepen	verb
defat	verb
defeat	verb
defend	verb
defer	verb
define	verb
defog	verb
defraud	verb
defray	verb
defy	verb
degas	verb
deice	verb
deify	verb
deign	verb
delay	verb
delegate	verb
deliver	verb
delude	verb
delve	verb
demand	verb
demean	verb
demob	verb
demonstrate	verb
demote	verb
demur	verb
denote	verb
denounce	verb
dent	verb
deny	verb
depart	verb
depend	verb
depend-on	verb
depict	verb
deplore	verb
deploy	verb
depose	verb
deposit	verb
depress	verb
deprive	verb
deride	verb
derive	verb
descend	verb
describe	verb
desert	verb
deserve	verb
desex	verb
design	verb
designate	verb
despise	verb
destine	verb
destroy	verb
detach	verb
detain	verb
detect	verb
deter	verb
determine	verb
detest	verb
detonate	verb
develop	verb
deviate	verb
devise	verb
devote	verb
devour	verb
diagnose	verb
dial	verb
dialyze	verb
dictate	verb
die	verb
differ	verb
dig	verb
digest	verb
dilate	verb
dilute	verb
diminish	verb
dine	verb
dip	verb
disagree	verb
disappear	verb
disappoint	verb
disapprove	verb
disarm	verb
discard	verb
discern	verb
disclose	verb
discount	verb
discourage	verb
discover	verb
discuss	verb
dislike	verb
dismiss	verb
dismount	verb
disobey	verb
disown	verb
dispatch	verb
dispel	verb
dispense	verb
display	verb
dispose	verb
disrupt	verb
diss	verb
disseminate	verb
dissolve	verb
dissuade	verb
distill	verb
distinguish	verb
distort	verb
distract	verb
distribute	verb
distrust	verb
disturb	verb
divert	verb
divest	verb
divide	verb
dizen	verb
docket	verb
dodge	verb
doff	verb
dominate	verb
don	verb
donate	verb
doom	verb
doss	verb
dote	verb
douse	verb
downgrade	verb
doze	verb
draft	verb
drag	verb
drain	verb
drape	verb
draw	verb
dread	verb
dribble	verb
drift	verb
drill	verb
drink	verb
drip	verb
drive	verb
droop	verb
drop	verb
drown	verb
drowse	verb
drub	verb
dub	verb
duck	verb
dump	verb
dunk	verb
dupe	verb
dwarf	verb
dwell	verb
dwindle	verb
dye	verb
earn	verb
ease	verb
eat	verb
ebb	verb
economize	verb
eddy	verb
edify	verb
edit	verb
educate	verb
educe	verb
eff	verb
efface	verb
egest	verb
ejaculate	verb
eject	verb
elapse	verb
elate	verb
elect	verb
elevate	verb
elicit	verb
elide	verb
eliminate	verb
elope	verb
elude	verb
elute	verb
embark	verb
embed	verb
embody	verb
emboss	verb
embrace	verb
emend	verb
emerge	verb
emit	verb
emote	verb
emphasize	verb
employ	verb
emulate	verb
enable	verb
enact	verb
encamp	verb
encase	verb
enchant	verb
enclose	verb
encompass	verb
encounter	verb
encourage	verb
end	verb
endanger	verb
endear	verb
endorse	verb
endow	verb
endue	verb
endure	verb
enforce	verb
engage	verb
engender	verb
engulf	verb
enhance	verb
enjoin	verb
enjoy	verb
enlarge	verb
enlist	verb
enmesh	verb
enrage	verb
enrich	verb
enrol	verb
enroll	verb
ensky	verb
ensue	verb
ensure	verb
entail	verb
enter	verb
entertain	verb
entice	verb
entitle	verb
entomb	verb
entrust	verb
envelop	verb
envision	verb
envy	verb
epitomize	verb
equate	verb
equip	verb
erase	verb
erect	verb
erode	verb
err	verb
eruct	verb
erupt	verb
escape	verb
eschew	verb
escort	verb
espouse	verb
espy	verb
establish	verb
estimate	verb
etch	verb
evade	verb
evaluate	verb
evict	verb
evoke	verb
evolve	verb
exaggerate	verb
exalt	verb
examine	verb
exceed	verb
excel	verb
except	verb
excise	verb
excite	verb
exclaim	verb
exclude	verb
execute	verb
exert	verb
exhale	verb
exhaust	verb
exhibit	verb
exile	verb
exist	verb
expand	verb
expect	verb
expel	verb
expend	verb
expire	verb
explain	verb
explode	verb
exploit	verb
explore	verb
export	verb
expose	verb
expound	verb
express	verb
extend	verb
extol	verb
extract	verb
exude	verb
exult	verb
facilitate	verb
fade	verb
fail	verb
fall	verb
falsify	verb
falter	verb
fasten	verb
fathom	verb
fatten	verb
favor	verb
faze	verb
feed	verb
feel	verb
feign	verb
feint	verb
fell	verb
fend	verb
ferry	verb
fetch	verb
fete	verb
fidget	verb
fight	verb
filch	verb
file	verb
fill	verb
