# word	synonyms (comma-separated)
splenic	lienal
spliff	joint,marijuana-cigarette,reefer,stick
spline	slat
splinter	secede,sliver
splintery	slivery
split	burst,cleave,divide,schism
split-second	instant,jiffy,trice
split-up	divide
splitsaw	ripsaw
splitting	rending,ripping
splodge	blotch
splosh	splash
splotch	blotch
spock	benjamin-spock
spoil	blow,bodge,botch,botch-up,bumble,coddle,flub,frustrate,fumble,mar,muff,pamper
spoiled	spoilt
spoilt	blighted,spoiled
spoke	radius,rundle,rung,wheel-spoke
sponge-gourd	luffa
spongelike	spongy
spongy	spongelike,squashy,squishy
sponsor	patronise,patronize
spontaneous	self-generated
spoof	burlesque,charade,lampoon,mockery,parody,sendup,takeoff,travesty
spook	ghost,shade,specter,spectre,wraith
spookily	eerily
spooky	flighty,nervous,skittish
spool	bobbin,reel
spoonbill-catfish	goujon,mudcat
sport	athletics,cavort,mutant,romp,sportsman
sport-coat	blazer
sport-jacket	blazer
sport-utility	suv
sport-utility-vehicle	suv
sportfishing	fishing
sporting	clean,sportsmanlike,sporty
sporting-house	brothel
sports-coat	blazer
sports-jacket	blazer
sports-stadium	stadium
sportsman	sport,sportswoman
sportsmanlike	sporting
sportswoman	sportsman
sporty	flashy,gaudy,sporting
spot	berth,billet,bit,blot,dapple,discern,espy,patch,place,post,slur,smear
spotless	immaculate,speckless,spic,spic-and-span,spick,spick-and-span
spots	floater,musca-volitans,muscae-volitantes
spotter	sentry
spotting	espial,spying
spotty	scratchy,uneven
spousal-relationship	marriage
spouse	better-half,married-person,mate,partner
spout	gush,jabber,mouth-off,rabbit-on,rant,rave
sprag	pitprop
sprain	rick,turn,twist,wrench,wrick
sprat	brisling,clupea-sprattus
spraying	crop-dusting
spread	dispersed,disseminate,distribute,gap,ranch
spread-out	expand,fanned
spree	fling
sprig	twig
spring	bounce,jump,leap,leaping,springtime
spring-chicken	youth
spring-up	arise,originate
springer	impost
springtime	spring
sprinkle	disperse,dot,dust,scatter,sparge,splash
sprinkling	sparge
sprite	fairy,fay
sprocket	cog
sprout	bourgeon,burgeon-forth,germinate,pullulate,shoot,spud
spruce	dapper,dashing,jaunty,natty,raffish,rakish,snappy,spiffy
sprue	psilosis,tropical-sprue
spry	agile,nimble,quick
spud	potato,sprout,stump-spud,tater
spue	be-sick,cast,cat,disgorge,purge,sick,spit,vomit,vomit-up
spumy	bubbling,bubbly,effervescing,foaming,foamy,frothy
spunk	heart,mettle,nerve
spunky	game,gamey,gamy,gritty,mettlesome,spirited
spur	gad,goad,goading,prod,prodding,spurring,urging
spurious-wing	alula
spurn	disdain,freeze-off,pooh-pooh,reject,scorn,turn-down
spurned	jilted
spurring	spur
spurt	gush,jet,spirt,squirt
sputter	clamber
sputum	phlegm
spy	espy,snoop,undercover-agent
spying	catching,detection,espial,spotting
squab	squabby
squabble	bicker,tiff
squabby	squab
squad	team
squalid	seamy,seedy,sleazy,sordid
squall	call,cry,holler,hollo,scream,shout,shout-out,waul,wawl,yell
squander	waste
squandered	wasted
square	foursquare
square-toed	prim
squarely	forthright,forthrightly
squash	crush,mash,squeeze,squelch
squashy	pulpy,spongy
squat	crouch,hunker,hunker-down,scrunch,scrunch-up,stumpy
squatty	stumpy
squawk	gripe,screak,screech,skreak,skreigh
squawky	cackly
squeak	creak,screak,screech,skreak,whine
squeaking	squeaky
squeaky	screaky,screechy,squeaking,squealing
squeal	confess,oink
squealer	pig
squealing	squeaky
squeamish	prissy
squeeze	coerce,crush,force,hug,mash,pinch,squash,squelch
squeeze-out	squirt
squelch	mash,quell,squash,squeeze
squinch	cringe,flinch,quail,recoil,squint,wince
squint	askant,sidelong,squinch
squint-eyed	askant,sidelong
squinty	askant,sidelong
squirm	twist,worm,wrestle,wriggle,writhe
squirt	eject,force-out,spirt,spurt,squeeze-out
squishy	spongy
sr	elder,older
sravana	sawan
ss	schutzstaffel,usss
sse	sou'-sou'-east,south-southeast
sspe	bosin's-disease,dawson's-encephalitis
sss	selective-service
ssw	sou'-sou'-west,south-southwest
st	aspirin,baeda,bayer,beda,bede,belem,cyril,gateway-to-the-west,levi,para,paul,saint-louis
stab	jab,knife,pang,poke,twinge
stabilise	brace
stability	stableness
stabilize	brace
stable	stalls
stableness	stability
stacked	bosomy,busty,curvy,sonsie,sonsy
stacks	dozens,gobs,loads,lots,piles,rafts,scads,scores,slews,tons,wads
stadium	arena,bowl,sports-stadium
stael	madame-de-stael
staff-of-life	bread
stag	hart,snoop
stage	phase
stage-business	byplay
stage-manager	stager
staged	arranged
stager	stage-manager
stagey	stagy
stagger	careen,flounder,keel,lurch,reel,swag
staggeringly	hugely
stagnate	laze
stagy	stagey
staid	sedate
staidly	gravely,soberly
stain	grime,smear,smirch,soil
stair	step
staircase	stairway
stairs	steps
stairway	staircase
stake	interest
stale	dusty
stalemate	impasse
stalin	joseph-stalin
stalk	shuck
stalked	pedunculate
stalking-horse	pretext
stall	booth,carrel,kiosk
stalls	horse-barn,stable
stalwart	hardy,stout,sturdy
stammer	bumble,falter,stutter
stamp	emboss,stomp
stamp-down	conquer,inhibit,subdue,suppress
stamp-pad	inkpad
stand	endure,fend,stand-up,standpoint,tolerate,viewpoint
stand-for	represent,signify,symbolize
stand-in	sub
stand-out	excel
stand-up	arise,get-up,rise,stand,uprise
standard-atmosphere	atm
standard-pressure	atm
standard-procedure	sop
standardisation	calibration
standardization	calibration
standing-stone	menhir
standoffish	offish
standpat	fusty
standpoint	point-of-view,stand,viewpoint
standstill	impasse
stapes	stirrup
staph	staphylococci,staphylococcus
staphylococci	staph
staphylococcus	staph
staple	basic
staple-gun	tacker
staplegun	tacker
star	asterisk,leading,prima,stellar
star-grass	doob,kweek
starch-wheat	emmer
stare	gaze
stare-down	outface
staring	agaze
stark	austere,blunt,crude,desolate
stark-naked	peeled
starkey	starr
starr	richard-starkey,ringo-starr,starkey
starring	leading,prima,stellar
start	begin,commence,get,get-down,initiate,outset,set-about,set-out,start-out,starting
start-out	begin,commence,start
starter	starter-motor,starting-motor
starter-motor	starter
starting	start
starting-motor	starter
starting-time	outset
startle	galvanise,galvanize
starve	crave,famish,hunger
starved	starving
starving	starved
stash	cache,hoard
stat-mi	mile
state	country,nation,province,say
state-highway	freeway,pike,thruway
state-of-affairs	situation
stated	declared
stateless-person	dp
stateliness	majesty
stately	baronial,imposing,noble
statement	argument
statesman	national-leader,solon
static	inactive,motionless,still
statin	lipid-lowering-medicine,statin-drug
statin-drug	statin
station-waggon	waggon
station-wagon	waggon
stator	stator-coil
stator-coil	stator
statue-maker	sculptor
status	condition,position
statute	legislative-act
statute-law	legislation
statute-mile	mile
statute-title	title
staunch	steadfast,unswerving
stave	round,rung
stave-off	avert
stay	abide,bide,remain,rest
stays	corset,girdle
std	vd
stead	lieu,place,position
steadfast	staunch
steadfastly	firmly
steady	brace
steal	slip
stealer	thief
stealing	stealth,theft
stealth	stealing
stealthy	furtive,sneaky
steam	steamer
steam-boiler	boiler
steamer	steam
steaming	piping
steamy	aroused,horny,muggy,randy,ruttish,turned-on
steatocystoma	wen
steel	sword
steen	jan-steen
steep	engulf
steeple	spire
steer	channelize,direct,guide,head,maneuver,manoeuver,manoeuvre,point
stefan-zweig	zweig
steffi-graf	graf
steganography	coding
stein	beer-mug
stela	stele
stele	stela
stellar	astral,leading,prima,star,starring
stem	base,prow,radical,root,root-word,theme
stemma	ocellus,simple-eye
stench	fetor,foetor,malodor,malodour,mephitis,reek,stink
stenotomus-chrysops	scup
step	abuse,measure,stair
step-by-step	gradually,stepwise
step-down	reduction
step-in	intervene,pantie,panty
stephanie-graf	graf
steps	stairs
stepwise	bit-by-bit,in-small-stages,piecemeal,step-by-step
stereo	stereo-system,stereophonic-system,stereophony
stereo-system	stereo
stereophonic-system	stereo
stereophony	stereo
stereotyped	stereotypic,stereotypical,unimaginative
stereotypic	stereotyped
stereotypical	stereotyped
sterilise	desex,unsex
sterilize	desex,unsex
stern	austere,grim,poop
sterna	genus-sterna
sternly	severely
sternum	breastbone
stertor	snoring
stetson	fedora,felt-hat,homburg,trilby
stewed	boiled,poached
sth	growth-hormone,human-growth-hormone,somatotrophic-hormone,somatotrophin,somatotropic-hormone,somatotropin
stick	baffle,bind,cling,cohere,deposit,puzzle,reefer,spliff
stick-in-the-mud	mossy
stick-on	affix
stick-out	endure,protrude,tolerate
stick-to	bind
sticker	dagger,poser
sticking	jutting,projected,projecting,protruding,relieved,sticking-out
sticking-out	jutting,sticking
stickup	holdup
sticky	gluey,glutinous,gummy,mucilaginous,muggy,pasty,viscid,viscous
stiff	cadaver,corpse,rigid,stiffly
stiffly	rigidly,stiff
stifle	dampen,muffle,repress,smother,strangle
stifling	sultry
stilbestrol	des
stilboestrol	des
still	all-the-same,even-so,however,motionless,nevertheless,nonetheless,notwithstanding,placid,silent,static,stillness,withal
stillness	hush,still
stilt	pile,piling,spile
stilted	artificial,contrived,hokey
stimulant	stimulus
stimulate	excite,provoke
stimulated	aroused
stimulation	stimulus
stimulus	input,stimulant,stimulation
sting	stinging
stinging	sting
stingy	meager,meagerly,meagre,scrimpy
stink	fetor,foetor,stench
stinker	bum,git,puke,skunk
stinking	crappy,fetid,foetid,lousy,rotten,shitty,smelly
stinkpot	bum,git,puke,skunk
stinky	crappy,ill-smelling,lousy,malodorous,malodourous,rotten,shitty,unpleasant-smelling
stint	skimp
stinting	frugal,scotch
stipendiary	paying
stippled	dotted,flecked
stipulate	condition,qualify,specify
stir	ado,budge,flurry,invoke
stir-up	agitate,incite
stirred	aroused,moved
stirred-up	aroused
stirring	rousing
stirrup	stapes,stirrup-iron
stirrup-iron	stirrup
stitch	sew
stitched	sewed,sewn
stitching	sewing
stm	immediate-memory,short-term-memory
stock	banal,breed,livestock,trite
stock-list	inventory
stock-still	rooted
stock-ticker	ticker
stockholder	shareholder,shareowner
stocky	compact,heavyset,thick,thickset
stodgy	mossy,stuffy
stoep	stoop
stogie	stogy
stogy	stogie
stoic	stoical
stoical	stoic
stoicism	stolidity,stolidness
stolid	impassive
stolidity	stoicism
stolidness	stoicism
stomach	abdomen,belly,breadbasket,endure,tolerate,tum,tummy
stomp	stamp,stump
stone	rock
stone-broke	broke,skint
stone-fruit	drupe
stone-gray	slatey,slaty
stone-grey	slatey,slaty
stoned	hopped-up
stony	flinty,granitelike,granitic,rocklike,rocky
stony-broke	broke,skint
stool	feces
stool-pigeon	fink
stoolie	fink
stoolpigeon	fink
stoop	bend,bow,crouch,stoep,stoup
stooped	crooked,hunched,round-backed,round-shouldered,stooping
stooping	stooped
stop	cease,diaphragm,end,halt,intercept,quit
stopped-up	chinked
stopper	plug
stopping	fillet
stopple	plug
stops	boodle,chicago,michigan,newmarket
storage-locker	locker
storage-warehouse	warehouse
store	shop
storey	floor,level,story
storied	celebrated,historied
storm	violent-storm
storm-troops	sa
story	account,fib,narration,narrative,storey,tale
storyline	plot-line
stoup	stoop
stout	hardy,portly,stalwart,sturdy
stove	cooking-stove,kitchen-range,kitchen-stove,range
stovepipe	topper
stowe	harriet-beecher-stowe
strad	stradavarius
stradavarius	strad
straight	direct,directly,unbent
straight-off	at-once,immediately,instantly
straightaway	at-once,immediately,instantly
straighten	unbend
straightlaced	prim
strain	breed,filter,melody,nisus,pains,reach,sift,strive,striving,tune,var
strained	labored,laboured
strainer-vine	luffa
strait	sound
strait-laced	prim
straitlaced	prim
strake	wale
strand	maroon
strange	unusual
stranger	alien,unknown
strangle	hamper,muffle,stifle,strangulate,throttle
strangulate	strangle
strap	flog,lash,whip
strapping	beefy,burly,husky
stratagem	ploy
strategic	strategical
strategical	strategic
strategy	scheme
stratified	graded,ranked
stravinsky	igor-stravinsky
straw	shuck,strew
straw-hat	boater
straw-man	scarer
strawman	scarer
stray	isolated,roam,rove,wander
streak	mottle
streaked	streaky
streaky	streaked
stream	swarm,watercourse
streamer	banner
street-arab	gamin
street-child	waif
street-cred	cred
street-credibility	cred
streetcar	tram,tramcar,trolley,trolley-car
strength	forte,intensity
strengthen	beef-up,fortify
strep	streptococcal,streptococcic
streptococcal	strep
streptococcic	strep
stress	accent,emphasis,emphasize,tension
stretch	stretch-along
stretch-along	stretch
stretch-out	crane
strew	straw
stria	band,banding,striation
striation	stria
stricken	afflicted,smitten,struck
strict	rigorous
strictly	purely
stride	pace,tread
strident	blatant,raucous
strike	excise,impress
strike-down	fell
strike-hard	knock
striking	dramatic,prominent,salient,spectacular
string	twine
string-of-beads	beads
stringy	sinewy,wiry
strip	divest,reave,undress
strip-down	undress
stripe	band,banding
striped	stripy
striped-squirrel	hackee
stripling	teenager
stripping	baring
stripy	striped
strive	endeavor,endeavour,strain
striving	nisus,pains,strain
strix	genus-strix
strobe	strobe-light,stroboscope
strobe-light	strobe
stroboscope	strobe
stroke	cva
stroll	amble,perambulation,promenade,saunter
stroller	pram,pusher
strong	potent
strong-armer	goon,hood,punk,thug
strong-belief	conviction
strong-drink	booze,liquor
strong-point	forte
strong-suit	forte
stroppy	bolshy
struck	smitten,stricken
structure	construction
struggle	battle,clamber,conflict,fight
strum	thrum
struma	goitre
strumpet	hussy,slut
strung-out	hooked
strut	prance,swagger
stubble	shuck
stubborn	obstinate,unregenerate
stubbornly	cussedly,mulishly,obdurately,obstinately,pig-headedly
stuck-up	snooty,uppish
stud	constellate,dot
student	educatee,pupil,scholar
student-lodging	hostel
student-residence	dorm
study	analyse,analyze,examine,report,sketch,survey
studying	perusal
stuff	glut,gorge,hooey,material
stuff-and-nonsense	hooey
stuffy	airless,stodgy
stultify	cripple
stumble	bumble,falter
stumblebum	lout,lummox,oaf
stump	ambo,dais,podium,pulpit,rostrum,stomp,tree-stump
stump-spud	spud
stumper	poser
stumpy	chunky,dumpy,low-set,squat,squatty
stun	stupefy
stung	annoyed,irritated,miffed,nettled,peeved,pissed,pissed-off,riled
stunned	amazed,astonied,astonished,astounded,dazed,kayoed,ko'd
stunner	lulu
stupa	tope
stupe	dolt,dullard,pillock,poor-fish,pudden-head,pudding-head,stupid,stupid-person
stupefaction	stupor
stupefied	dazed
stupefy	besot,stun
stupendous	colossal,prodigious
stupid	dazed,dolt,stupe
stupid-person	dolt,stupe
stupidity	betise
stupidly	doltishly
stupor	grogginess,semiconsciousness,shock,stupefaction
stuporous	groggy,logy
sturdy	hardy,stalwart,stout
sturmabteilung	sa
stutter	bumble,falter,stammer
sty	pigpen,pigsty,stye
stye	eye-infection,hordeolum,sty
style	fashion,manner,mode,stylus,vogue,way
stylemark	hallmark,trademark
stylus	style
stymie	stymy
stymy	stymie
styx	river-styx
suave	bland,politic,smooth
sub	fill-in,stand-in,submarine,substitute
subaltern	lowly
subclass-dipnoi	dipnoi
subdivision	branch,section,subsection
subdue	conquer,curb,inhibit,quash,repress,stamp-down,suppress
subdued	dim,hushed,muted,quiet
subgenus-chen	chen
subject	submit,theme,topic
subjection	conquest
subjugate	quash,repress
subjugation	conquest
sublimate	purify
sublime	empyreal,empyrean,exalted
sublime-porte	porte
submarine	pigboat,sub,u-boat
submaxilla	jowl
submerge	drown
submit	accede,relegate,subject
suborder-lacertilia	sauria
suborder-lari	lari
suborder-otides	otides
suborder-sauria	sauria
suborner	briber
subsection	subdivision
subsequently	after,afterward,afterwards,later
subside	lessen
subsidise	subsidize
subsidize	subsidise
subsister	survivor
substance	essence,gist,kernel,nub
substantial	significant
substantially	considerably,well
substantiate	affirm,confirm
substitute	ersatz,exchange,interchange,replace,sub
subtend	delimit
subtle	elusive
subtlety	nuance
subtract	deduct,take-off
suburb	suburban-area,suburbia
suburban-area	suburb
suburbia	suburb
subvert	overthrow,undermine
subway	metro,subway-system,tube,underground
subway-system	metro,subway
succeed	bring-home-the-bacon,come-through,deliver-the-goods,win
successive	consecutive,sequent,sequential,serial
successor	replacement
succor	ministration,relief,succour
succour	succor
succumb	buckle-under,give-in,knuckle-under,yield
succus	juice
suck	imbibe
suck-up	imbibe
sucker	chump,fall-guy,fool,gull,mark,mug,patsy,soft-touch
suckerfish	remora
sucking-fish	remora
sucking-louse	louse
suckled	nursed
sudan	soudan
suddenly	abruptly,all-of-a-sudden,of-a-sudden
sudor	perspiration,sweat
sudra	shudra
suds	lather,soapsuds
sudsy	lathery
sue	action,litigate,process
suede	suede-cloth
suede-cloth	suede
suer	petitioner,suitor,wooer
suffer	get,have,sustain
sufferer	martyr
suffering	agony,distress,excruciation,miserable,woe
suffice	answer,do,serve
suffix	postfix
suffuse	perfuse
sugar	refined-sugar
sugar-apple	annon
sugar-sorghum	sorgo
suggest	advise,hint,propose
sugi	cryptomeria-japonica,japan-cedar,japanese-cedar
suicide	self-annihilation,self-destruction
suidae	family-suidae
suit	befit,causa,fit,suit-of-clothes
suit-of-clothes	suit
suitable	suited
suitably	appropriately,befittingly,fitly,fittingly
suitcase	bag,grip,traveling-bag,travelling-bag
suite	rooms
suited	suitable
suitor	suer,wooer
sula	genus-sula
sula-bassana	solan
sulfa	sulfa-drug,sulfonamide,sulpha
sulfa-drug	sulfa,sulpha
sulfonamide	sulfa,sulpha
sulfur	sulphur
sulfurous	acerb,acrid,sultry
sulk	sulkiness
sulkiness	sulk
sulky	gloomy,sluggish
sullen	dark,dour,glowering,glum,moody,morose,saturnine,sour
sullenly	dourly,glumly
sully	duc-de-sully,maxmilien-de-bethune
sulpha	sulfa,sulfa-drug,sulfonamide
sulphur	sulfur
sulphurous	acerb,acrid,sultry
sultan	grand-turk
sultanate-of-oman	oman
sultry	stifling,sulfurous,sulphurous
sum	amount,amount-of-money,sum-of-money
sum-of-money	amount,sum
sum-up	summarize,summary
sumac	shumac,sumach
sumach	sumac
summarise	summarize
summarize	resume,sum-up,summarise
summary	sum-up
summation	rundown
summer	summertime
summerhouse	gazebo
summersault	somersault
summerset	somersault
summertime	summer
summing-up	rundown
summon	cite,mobilize,muster,summons
summons	summon
sump	cesspit,cesspool,sink
sumptuous	opulent
sun	sunday,sunlight
sun-hat	sunhat
sun-helmet	topee
sun-protection-factor	spf
sunbaked	parched
sunbeam	sunray
sunblind	awning,sunshade
sunday	dominicus,lord's-day,sun
sundown	sunset
sundry	assorted,miscellaneous,mixed,motley
sunfish	mola
sunflower-state	kansas,ks
sung	song,song-dynasty,sung-dynasty
sung-dynasty	sung
sunglasses	shades
sunhat	sun-hat
sunk	done-for,ruined,undone,washed-up
sunken	deep-set,recessed
sunlight	sun,sunshine
sunlit	sunstruck
sunna	hadith,sunnah
sunnah	hadith,sunna
sunni	sunni-islam
sunni-islam	sunni
sunny	cheery,gay
sunray	sunbeam
sunset	sundown
sunshade	awning,sunblind
sunshine	sunlight
sunshine-state	fl,florida
sunstruck	sunlit
suntanned	bronzed,tanned
sunup	aurora,break-of-day,break-of-the-day,dawn,dawning,daybreak,first-light,morning
suomi	finnish
sup	swallow
super	a-one,ace,crack,first-rate,tiptop,top-notch,topnotch,tops
superb	brilliant
superbly	marvellously,marvelously,terrifically,toppingly,wonderfully,wondrous,wondrously
supercede	supersede,supplant
supercilious	haughty,snide,sniffy
supercilium	eyebrow
supererogatory	excess,extra
superfluous	excess,extra
superhigh-frequency	shf
superhighway	freeway,pike,thruway
superintend	supervise
superintendence	supervision
superior	victor
superman	elvis
supernumerary	excess,extra
supersede	replace,supercede,supervene-upon,supplant
supersonic	ultrasonic
superstition	superstitious-notion
superstitious-notion	superstition
supervene-upon	supersede,supplant
supervise	manage,monitor,oversee,superintend
supervising	supervision
supervision	oversight,superintendence,supervising
supine	resupine
supplant	replace,supercede,supersede,supervene-upon
supple	limber,lissom,lithe
supplement	append
suppliant	petitioner
supplicant	petitioner
supplication	prayer
supply	cater,furnish,ply,provide,render
support	affirm,back-up,confirm,defend,endorse,endure,tolerate
supporter	assistant,garter,jock
suppose	guess,opine,reckon,say,speculate
supposedly	purportedly
suppress	conquer,crush,curb,inhibit,stamp-down,subdue
suppuration	ichor,pus,sanies
supra	above
supremacy	domination,mastery
supreme-being	god
supreme-truth	aum
sur	tyre
sura	calf
surcharge	rob
surd	hard,unvoiced,voiceless
sure	certain,certainly,surely,trusted
sure-as-shooting	certainly,surely
sure-enough	certainly,surely
surely	certainly,for-certain,for-sure,sure,sure-as-shooting,sure-enough
sureness	assurance,confidence
surf	breaker,breakers
surface	come-out
surface-to-air-missile	sam
surge	billow,heave,scend,soar
surgeon	operating-surgeon,sawbones
surgery	or
surgical-gown	scrubs
surging	billowing,billowy
surly	ugly
surmise	suspect
surmount	outdo,surpass
surnia	genus-surnia
surpass	exceed,excel,outdo,outgo,outmatch,outperform,outstrip,surmount
surplus	excess,extra,nimiety,surplusage
surplusage	surplus
surrender	cede,give-up
surreptitious	furtive,sneaky
surround	besiege,border,environ,ring,skirt,smother
surrounding	circumferent,encompassing
surroundings	milieu
survey	appraise,study
survival	endurance
survive	endure,go,hold-out,hold-up,last,live,live-on,outlive
survivor	subsister
sus	genus-sus
sus-scrofa	pig
susa	sousse,susah
susah	sousse,susa
susiana	elam
suslik	citellus-citellus,souslik
suspect	defendant,distrust,fishy,surmise
suspender	gallus
suspensor	jock
suspicion	hunch,intuition
suspicious	fishy,leery
suspire	breathe,sigh
suss-out	check
sustain	affirm,confirm,keep-up,nourish,prolong,suffer
sutura	fibrous-joint,suture
suture	sutura
suv	sport-utility,sport-utility-vehicle
svelte	lissom,lithe,slender,slight,slim,urbane
sverige	sweden
sw	sou'-west,southwest,southwestward
swab	dab,swob
swaddle	swathe
swag	booty,careen,droop,loot,lurch,sag,stagger
swage	upset
swagger	cock,groovy,prance,ruffle,sashay,strut,tittup
swaggering	haughty,sniffy
swain	beau,boyfriend,fellow,young-man
swallow	get-down,sup,unsay
swamp	flood,swampland
swampland	swamp
swampy	boggy,marshy,miry,mucky,muddy,quaggy,sloppy,sloughy
swan	aver,roam,rove,wander
swank	flaunt,swanky
swanky	swank
swap	barter,switch,swop,trade
sward	greensward,sod,turf
swarm	pour,pullulate,stream,teem
swart	dark-skinned,dusky,swarthy
swarthy	dark-skinned,dusky,swart
swash	boast,brag
swath	belt
swathe	swaddle
sway	persuade,rock,shake
swayback	dipped
swaybacked	dipped
swayer	ruler
swbs	southwest-by-south
swbw	southwest-by-west
swear	aver,blaspheme,curse,cuss,imprecate,rely,trust
swearing	oath
swearword	oath
sweat	exertion,perspiration,sudor
sweat-room	sauna
sweat-suit	sweats
sweater	jumper
sweats	sweat-suit,sweatsuit,workout-suit
sweatsuit	sweats
sweden	kingdom-of-sweden,sverige
swedish-nightingale	lind
sweeney-todd	todd
sweep	brush,expanse,span
sweep-over	whelm
sweet	dessert,dulcet,sweetly
sweet-basil	basil
sweet-cicely	myrrh
sweet-sorghum	sorgo
sweet-talk	coax
sweetener	bait
sweetheart	lulu
sweetly	sweet
sweetsop	annon
swell	dude,fop,sheik
swelled	big,vainglorious
swelled-head	egotism
swellhead	egotist
swelling	bulge,hump
swerve	curve,cut,sheer,slew,slue,trend,veer,yaw
swift	fleet
swiftly	fleetly
swig	draft,draught,gulp,slog,slug
swill	pigswill,pigwash,slop,slops
swimmer	bather
swimming	naiant
swimmingly	smoothly
swindle	bunco,defraud,diddle,gip,goldbrick,nobble,rook,scam,victimize
swing	dangle,lilt
swinge	singe
swinging	swingy
swingy	lilting,swinging,tripping
swinish	oafish,piggy
swipe	filch,pilfer,snarf
swirl	eddy,purl,twirl,whirl,whirlpool
swish	classy,lap,posh,swoosh,swosh
swiss	swiss-people
swiss-chard	chard
swiss-people	swiss
switch	exchange,shift,swap,switch-over
switch-over	switch
swivel	pivot
swob	dab,mop,swab
swollen	vain
swollen-headed	vain
swoon	conk,faint,pass-out
swoop	pounce
swoosh	swish,swosh
swop	barter,swap,trade
sword	blade,brand,steel
sworn	pledged
swosh	lap,swish,swoosh
swot	dweeb,grind,nerd,wonk
sybaritic	luxurious
sycophant	toady
syllabus	curriculum
sylphlike	lissom,lithe
sylva	silva
sylvan	silvan
sylvia-plath	plath
symbolic	emblematic,emblematical,symbolical
symbolical	symbolic
symbolise	symbolize
symbolize	represent,stand-for,symbolise,typify
symmetric	symmetrical
symmetrical	symmetric
symmetricalness	symmetry
symmetry	balance,correspondence,symmetricalness
sympathetic	kindly
sympathy	understanding
symphonic-music	symphony
symphony	symphonic-music
sync	synchronise,synchronize
synchro	selsyn
synchronise	sync
synchronize	sync
synge	j,john-millington-synge
synonym	equivalent-word
synopsis	precis
syntax	phrase-structure,sentence-structure
synthetic	man-made,semisynthetic
syph	lues,lues-venerea,pox,syphilis
syphilis	lues,syph
syphon	siphon
syria	syrian-arab-republic
syrian-arab-republic	syria
syrup	sirup
syrupy	cloying,honied,saccharine,treacly
system-of-macrophages	mps
systematically	consistently
szell	george-szell
t	thyroxine,tonne
t'ai-chi	taichi
t'ai-chi-chuan	taichi
ta	tantalum
taal	afrikaans,south-african-dutch
tab	chit,lozenge,pill,tablet
tabby	brinded,brindle,brindled
tabi	tabis
tabis	tabi
table	defer,postpone,shelve,tabular-array,tabulate
table-linen	napery
tablet	pad,tab
taboo	forbidden,out,prohibited,proscribed,tabu,verboten
tabor	tabour
tabour	tabor
tabu	forbidden,out,prohibited,proscribed,taboo,verboten
tabular-array	table
tabularise	tabulate
tabularize	tabulate
tabulate	table,tabularise,tabularize
tabun	ga
tacca	genus-tacca
tacca-leontopetaloides	pia
tacca-pinnatifida	pia
tach	tachometer
tachometer	tach
tacit	silent,understood
taciturnly	mutely,silently
tack	assemble
tack-together	assemble
tacker	staple-gun,staplegun
tackiness	sleaze
tackle	take-on,undertake
tacky	brassy,cheap,flash,flashy,garish,gaudy,gimcrack,loud
tact	tactfulness
tactfulness	tact
tactic	maneuver,manoeuvre,tactics
tactics	tactic
tactile	haptic,tactual
tactual	haptic,tactile
tad	shade
tadalafil	cialis
tadpole	polliwog,pollywog
tadzhik	tajik
taegu	tegu
taenia	tenia
taft	president-taft,william-howard-taft
tag	chase,rag,tatter,ticket
tag-end	rag,tatter
tagged	labeled,labelled
tagger	tagging-program
tagging-program	tagger
taguan	flying-cat,flying-marmot,petaurista-petaurista
tagus	tagus-river
tagus-river	tagus
tai	siamese,thai
tai-chi	taichi
tai-chi-chuan	taichi
tai-long	shan
taichi	t'ai-chi,t'ai-chi-chuan,tai-chi,tai-chi-chuan,taichichuan
taichichuan	taichi
tail	chase,poop
tail-bone	coccyx
tail-coat	tails
tailcoat	tails
tailor	orient
tailored	trim
tails	dress-suit,full-dress,tail-coat,tailcoat,white-tie,white-tie-and-tails
taint	contamination
taipan	oxyuranus-scutellatus
taira	eira-barbara,tayra
taiwan	china,nationalist-china,republic-of-china
taiwanese	amoy
tajik	tadzhik,tajiki
tajiki	tajik
takahe	notornis,notornis-mantelli
take	choose,consume,get-hold-of,ingest,lead,necessitate,proceeds,remove,require,select
take-a-breath	breathe
take-a-chance	gamble
take-a-firm-stand	insist
take-a-hop	bounce
take-away	remove
take-back	unsay
take-chances	gamble
take-down	demean,lower,rase,raze
take-flight	flee
take-for	deem
take-for-granted	assume,presume
take-hold	hold
take-hold-of	grab
take-in	consume,dupe,earn,gull,imbibe,ingest,overhear
take-issue	disagree
take-off	deduct,subtract
take-on	tackle
take-out	except,exclude,extract,omit,unpack
take-over	usurp
take-part	participate
take-place	come-about,fall-out,go-on,hap,happen,occur,pass,pass-off
take-stock	scrutinize
take-the-stand	testify
take-to-be	regard-as,repute
take-to-task	berate,chide,rebuke,scold
take-up	imbibe,sorb
taken	interpreted
taken-up	haunted
takeoff	parody,sendup,spoof
takeover	putsch
takin	budorcas-taxicolor,gnu-goat
taking	fetching,winning
takings	proceeds
talc	talcum
talcum	talc,talcum-powder
talcum-powder	talcum
tale	fib,narration,narrative,story
talebearing	leaky
talent	endowment,gift,natural-endowment
talented	gifted
talisman	amulet
talk	blab,lecture,speak
talk-about	discourse,discuss
talk-terms	negotiate
talkative	blabby,gabby,talky
talker	speaker
talkie	talking-picture
