# word	synonyms (comma-separated)
albizzia-lebbeck	siris
albrecht-durer	durer
albula	genus-albula
album	record-album
albumen	albumin
albumin	albumen
alca	genus-alca
alcaic	alcaic-verse
alcaic-verse	alcaic
alcea	genus-alcea
alcedo	genus-alcedo
alces	genus-alces
alces-alces	moose
alcohol	alcoholic-beverage,alcoholic-drink,inebriant,intoxicant
alcoholic	alky
alcoholic-beverage	alcohol
alcoholic-drink	alcohol
alcove	bay
aldehyde-alcohol	aldol
alder	alder-tree
alder-tree	alder
aldol	aldehyde-alcohol
alep	aleppo,halab
aleppo	alep,halab
alert	alarm,alarum,brisk
aleurites-fordii	tung
aleve	aflaxen,anaprox,naproxen-sodium
alex-boncayao-brigade	abb
alex-haley	haley
alexandre-dumas	dumas
alexic	word-blind
alfred-bernhard-nobel	nobel
alfred-binet	binet
alfred-lunt	lunt
alfred-nobel	nobel
alfred-noyes	noyes
alfred-thayer-mahan	mahan
alfresco	outdoors,outside
alga	algae
algae	alga
alger	horatio-alger
algerian-dinar	dinar
algin	alginic-acid
alginic-acid	algin
alias	a,also-known-as
alibi	excuse
alidad	alidade
alidade	alidad
alien	alienate,exotic,foreign,foreigner,stranger
alienate	alien,disaffect,estrange
alienated	anomic
aliform	alar,alary
alight	afire,aflare,light,perch
align	adjust,aline,line-up
alike	like,similar
alikeness	similitude
alimentary-paste	pasta
aline	adjust,align,line-up
alir	far,former-armed-forces,interahamwe
alive	animated,live
alkali	base
alkalic	alkaline
alkaline	alkalic
alky	alcoholic,boozer,dipsomaniac,lush,soaker,souse
alkyd	alkyd-resin
alkyd-resin	alkyd
alkyl	alkyl-group,alkyl-radical
alkyl-group	alkyl
alkyl-radical	alkyl
all	altogether,completely,entirely,totally,wholly
all-in	bushed
all-of-a-sudden	suddenly
all-over	ended,everywhere
all-right	alright,fine,ok,okay,very-well
all-the-same	however,nevertheless,still,withal
allay	assuage,quench,slake
allege	aver,say
alleghany-plum	sloe
allegheny-plum	sloe
allegiance	fealty
allegory	apologue,fable,parable
allele	allelomorph
allelomorph	allele
allen	ethan-allen
allen-tate	tate
alleviate	facilitate,relieve
alleviated	eased,relieved
alleviation	easing,relief
alley	alleyway,back-street
alleyway	alley
allice	allice-shad,allis,allis-shad,alosa-alosa
allice-shad	allice,allis
alligator	gator
alligator-pear	avocado
allis	allice,allice-shad,allis-shad,alosa-alosa
allis-shad	allice,allis
allium-schoenoprasum	chive,cive
allmouth	angler,lotte
allocable	allocatable,apportionable
allocatable	allocable
allocate	apportion
allocation	allotment
allot	assign,portion
allotment	allocation
allow	grant,let,permit
allowance	leeway
alloy	admixture
allure	allurement,temptingness
allurement	allure
allyl	allyl-group,allyl-radical
allyl-group	allyl
allyl-radical	allyl
almighty	creator,lord
almost	about,most,near,nearly,nigh,virtually,well-nigh
alnus	genus-alnus
aloes	bitter-aloes
aloha	ciao
aloha-state	hawaii
alone	entirely,exclusively,only,solely,unique
along	on
aloof	distant,upstage
alopex	genus-alopex
alosa	genus-alosa
alosa-alosa	allice,allis
aloud	loudly,out-loud
alpaca	lama-pacos
alpha-centauri	rigil
alpha-fetoprotein	afp
alpha-foetoprotein	afp
alpha-lipoprotein	hdl
alphabet	abc,abc's,abcs
alprazolam	xanax
alps	the-alps
alright	all-right,ok
als	lou-gehrig's-disease
also	as-well,besides,likewise,too
also-known-as	alias
also-ran	loser
alstonia-scholaris	dita
alt	altitude,el,elevation
altace	ramipril
alter	change,modify,spay,vary
alteration	revision
alterative	healing,therapeutic
altercate	quarrel
altercation	fracas
altered	adapted
alternating-current	ac
alternative	choice,option
alternatively	instead
altitude	alt,height
altogether	all,completely,entirely,totally,whole,wholly
alula	bastard-wing,spurious-wing
alum	grad
aluminium	aluminum
aluminum	al,aluminium
alumna	grad
alumnus	grad
alvar-aalto	aalto
alveolate	pitted
alveolus	air-cell,air-sac
alvin-ailey	ailey
always	e'er,ever,invariably
alytes	genus-alytes
am	amplitude-modulation
amah	housemaid,maid,maidservant
amalgamate	fused,mingle
amalgamated	fused
amalgamation	merger
amass	accumulate,collect,conglomerate,cumulate,gather,pile-up
amative	amorous
amaze	astonish,astound
amazed	astonied,astonished,astounded,stunned
amazement	astonishment
amazing	awe-inspiring,awesome,awful,awing
ambassador	embassador
amber	brownish-yellow,gold,yellow-brown
ambiance	atmosphere
ambience	atmosphere
ambiguous	equivocal
ambit	compass,orbit,range,reach,scope
ambition	aspiration,dream
amble	mosey,stroll
ambo	dais,podium,pulpit,rostrum,soapbox,stump
ambrosia	beebread
ambuscade	ambush,waylay
ambush	ambuscade,lying-in-wait,trap,waylay
ameba	amoeba
ameban	amebic,amebous,amoeban,amoebic,amoebous
amebic	ameban,amebous,amoeban,amoebic,amoebous
amebous	ameban,amebic
ameer	amir,emeer,emir
ameiurus-melas	pout
ameliorate	improve
amen	amon,amun
amend	improve,remedy
amends	reparation
amenities	comforts
ament	catkin
amentia	idiocy
amercement	mulct
america	the-states,u,united-states,us,usa
american-aloe	agave
american-bison	buffalo
american-buffalo	buffalo
american-capital	washington
american-chameleon	anole
american-elk	elk,wapiti
american-ginseng	sang
american-indian	indian
american-oriole	oriole
american-robin	robin
american-sign-language	asl
american-stock-exchange	amex
amex	american-stock-exchange,curb
amia	genus-amia
amia-calva	bowfin
amiable	affable,cordial,genial
amiably	affably
amine	aminoalkane
aminic	amino
amino	aminic
aminoalkane	amine
amir	ameer,emeer,emir
amiss	awry,haywire,wrong
amitriptyline	elavil
amity	cordiality
amman	capital-of-jordan
ammo	ammunition
ammotragus-lervia	aoudad,arui,audad
ammunition	ammo
amnic	amnionic,amniotic
amnio	amniocentesis
amniocentesis	amnio
amnion	amnios,amniotic-sac
amnionic	amnic
amnionic-fluid	waters
amnios	amnion,amniotic-sac
amniotic	amnic
amniotic-fluid	waters
amniotic-sac	amnion,amnios
amobarbital-sodium	amytal
amoeba	ameba
amoeban	ameban,amebic
amoebic	ameban,amebic
amoebous	ameban,amebic
amok	amuck,berserk,demoniac,demoniacal,possessed
amon	amen,amun
amor	cupid
amorous	amative
amorphophallus-titanum	krubi
amorphous	formless,shapeless
amos	book-of-amos
amount	amount-of-money,quantity,sum,sum-of-money
amount-of-money	amount,sum
amour	affair,affaire,intimacy,involvement,liaison
amour-propre	vanity
amoxicillin	amoxil,trimox
amoxil	amoxicillin,augmentin,larotid,polymox,trimox
amoy	fukien,fukkianese,hokkianese,min,min-dialect,taiwanese
amp	a,ampere
ampere	amp
ample	sizable
amplify	exaggerate,magnify
amplitude-modulation	am
amply	richly
ampoule	ampul,ampule,phial,vial
ampul	ampoule,ampule,phial,vial
ampule	ampoule,ampul,phial,vial
amrinone	inocor
amuck	amok,berserk,demoniac,demoniacal,possessed
amulet	talisman
amun	amen,amon
amur	amur-river,heilong,heilong-jiang
amur-river	amur
amusd	doctor-of-musical-arts
amuse	disport,divert
amused	diverted,entertained
amusing	comic,funny
amyotonia	atony
amytal	amobarbital-sodium,blue,blue-angel,blue-devil
an	associate-in-nursing
an-nafud	nafud,nefud
an-nefud	nafud,nefud
anabas	genus-anabas
anacin-iii	datril,tempra
anaconda	eunectes-murinus
anaemia	anemia
anaemic	anemic
anal	anal-retentive
anal-intercourse	sodomy
anal-retentive	anal
anal-sex	sodomy
analog	analogue,linear
analogous	correspondent
analogue	analog
analyse	analyze,canvas,canvass,examine,study
analysis-of-variance	anova
analyze	analyse,canvas,canvass,examine,study
anaprox	aleve
anarchic	lawless
anarchical	lawless
anarchy	lawlessness
anas	genus-anas
anas-penelope	wigeon
anasa	genus-anasa
anastomosis	inosculation
anathemise	bedamn
anathemize	bedamn
anatomic	anatomical
anatomical	anatomic
anatomy	bod,general-anatomy,soma
ancestral	hereditary,patrimonial,transmissible
ancestry	blood,blood-line,bloodline,descent,line,line-of-descent,lineage,pedigree
anchor	ground-tackle
and-so	and-then,then
and-so-forth	etc
and-so-on	etc
and-then	and-so,so,then
andre-gide	gide
andre-weil	weil
andrena	andrenid,mining-bee
andrenid	andrena
andres-martinez	salim
andrew-wyeth	wyeth
andrzej-wajda	wajda
ane	i,one
anele	anoint,embrocate,inunct,oil
anemia	anaemia
anemic	anaemic
anew	afresh
ang	air-national-guard
angel	backer
angel-dust	pcp
angelic	angelical,beatific,sainted,saintlike,saintly
angelical	angelic
anger	choler,ira,ire
angered	enraged,maddened
angle	lean,tilt
angler	allmouth,angler-fish,anglerfish,goosefish,lophius-americanus,lotte,monkfish
angler-fish	angler,lotte
anglerfish	angler,lotte
anglesea	mona
anglesea-island	mona
anglesey	mona
anglesey-island	mona
angora	angora-cat
angora-cat	angora
angry	raging
anguilla-sucklandii	tuna
anguis	genus-anguis
anguish	torment,torture
angular	angulate
angulate	angular
angus	aberdeen-angus,black-angus
anhima	genus-anhima
anil	indigofera-anil,indigofera-suffruticosa
animadversion	censure
animal	animate-being,beast,brute,carnal,creature,fauna,sensual
animate	inspire,liven,recreate,revive,vivify
animate-being	animal,beast,creature,fauna
animated	alive
animated-cartoon	toon
animation	brio
anime	gum-anime
anionic	anionic-detergent,non-ionic-detergent
anionic-detergent	anionic
anise	anise-seed,aniseed
anise-seed	anise
aniseed	anise
ankle	ankle-joint,mortise-joint
ankle-bracelet	anklet
ankle-joint	ankle
anklebone	talus
anklet	ankle-bracelet
anlage	primordium
annals	chronological-record
annam	viet-nam,vietnam
annex	annexe,extension,wing
annexa	adnexa
annexe	annex,extension,wing
annon	sugar-apple,sweetsop
announce	denote
announcement	proclamation
annoy	bother,get-at,get-to,irritate,nark,nettle,rag,rile,vex
annoyance	irritation
annoyed	harassed,irritated,miffed,nettled,peeved,pestered,pissed,pissed-off,riled,roiled,stung
annoyer	vexer
annoying	galling,pesky,plaguy,vexing
annual	one-year,yearly
annually	each-year,every-year,yearly
annuity	rente
annul	countermand,lift,overturn,repeal,rescind,reverse,revoke,vacate
annunciation	proclamation
annwfn	annwn
annwn	annwfn
ano	abu-nidal-organization,black-september,fatah-rc
anoa	anoa-depressicornis,dwarf-buffalo
anoa-depressicornis	anoa
anodal	anodic
anodic	anodal
anoint	anele
anole	american-chameleon,anolis-carolinensis
anolis	genus-anolis
anolis-carolinensis	anole
anomia	genus-anomia
anomic	alienated,disoriented
anomie	anomy
anomy	anomie
anon	anonymous
anonym	nom-de-guerre,pseudonym
anonymous	anon
anorak	parka,windbreaker,windcheater
another	some-other
anova	analysis-of-variance
anpu	anubis
ansaid	flurbiprofen
anser	genus-anser
anserine	dopey,dopy,goosey,goosy,jerky
answer	reply,respond,suffice
ant	emmet,pismire
antagonist	adversary,opponent,opposer,resister
anteater	numbat
antecede	forego,precede
antecedently	previously
antechamber	foyer,lobby
antedate	forego,precede
antenna	aerial,feeler,transmitting-aerial
anterior	prior
anteroom	foyer,lobby
anthem	hymn
antheraea-mylitta	tussah,tusseh,tusser,tussur
anthony-wayne	wayne
anthus	genus-anthus
anti-racketeering-law	rico
antiaircraft	flack,flak
antiaircraft-gun	flack,flak
antiballistic-missile	abm
antic	fantastic,fantastical,grotesque
anticipant	expectant
anticipate	expect,foresee,predict
anticipated	awaited,hoped-for
anticipative	expectant
antidiuretic-hormone	adh
antipathetic	averse,loath,loth
antipathetical	averse,loath,loth
antipathy	distaste
antique	demode,ex,old-fashioned,old-hat,outmoded,passe,passee
antisatellite	asat
antonio-gaudi	gaudi
antonio-gaudi-i-cornet	gaudi
antsy	fidgety,fretful,itchy
anubis	anpu
anunnaki	enuki
anura	batrachia,order-anura,order-batrachia,order-salientia,salientia
anuran	batrachian,frog,salientian,toad
anuretic	anuric
anuric	anuretic
anvil	incus
anwar-el-sadat	sadat
anwar-sadat	sadat
anxiety	anxiousness
